Nâng cấp bắt đầu: 08:16:19_16-03-2019
08:16:19_16-03-2019 | 127.0.0.1 | Gỡ bỏ Google Plus | SUCCESS
08:16:20_16-03-2019 | 127.0.0.1 | Cập nhật module users lên 4.3.05 | SUCCESS
08:16:22_16-03-2019 | 127.0.0.1 | Cập nhật CSDL lên phiên bản 4.3.05 | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/authors/add.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/authors/edit.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/authors/main.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/extensions/manage.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/extensions/upload.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/index.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/check.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/edit.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/functions.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/interface.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/main.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/read.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/language/write.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/modules/del.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/modules/functions.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/modules/setup.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/modules/show.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/seotools/admin.menu.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/seotools/functions.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/seotools/main.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/seotools/robots.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_add.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_del.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_edit.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/functions.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/plugin.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/security.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/settings/system.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/siteinfo/logs.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/themes/activatetheme.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/themes/main.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/upload/functions.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/upload/main.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/upload/upload.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/webtools/checkupdate.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file admin/webtools/statistics.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/LICENSE.md | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/adapters/jquery.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/build-config.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/flash/dialogs/flash.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tableselection/styles/tableselection.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/youtube/images/icon-hdpi.png | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/youtube/images/icon.png | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
08:16:27_16-03-2019 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
